Move	4665497587
Add	879112898
GetKeyedProperty	656825602
Mul	589529787
Increment	541390147
GetNamedProperty	424981917
LoadSmi8	388016876
LoadLocal1	376238965
LoadLocal3	272468610
ShiftRight	266535540
LoadLocal0	266102274
LoadThis	255808504
AssignKeyedProperty	209818729
JumpIfFalse	199615485
Jump	185184361
LoadZero	171596905
JumpIfFalse8	156590846
LoadLocal2	144320897
LoadEnvSlot	127900859
GreaterEqual	104440854
LoadConst8	104135709
StoreLocal3	101444986
Decrement	99404238
BitAnd	97672356
ShiftLeft	88858560
Ldar	88608168
LessEqual	86829348
AssignNamedProperty	72724170
Sub	65414051
LoadGlobal	64109833
